id,m/p,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,a,,,,,,,,,TRUE
1,phrase_line,a,0,0,ÏƒÎ¿Ï…,FALSE,FALSE,TRUE,,,FALSE
2,phrase_line,a,0,0,Î·,FALSE,FALSE,FALSE,,,FALSE
3,phrase_line,a,p0,0,Ï„ÏÎ¿,FALSE,FALSE,FALSE,,,FALSE
4,phrase_line,G,a,-1,Ï€Î±Î¹,FALSE,FALSE,FALSE,,,FALSE
5,phrase_line,a,oo,1,Î¿Ï,TRUE,FALSE,FALSE,,,FALSE
6,phrase_line,G,a,-1,Ï‡Î¿Ï‚,FALSE,FALSE,TRUE,,,FALSE
7,phrase_line,E,a2,-2,Î´Îµ,FALSE,TRUE,FALSE,,,TRUE
8,phrase_line,F,kk,1,-,FALSE,FALSE,FALSE,,,FALSE
9,phrase_line,F,kk,1,-,FALSE,FALSE,FALSE,,,
10,phrase,a,0,0,Î¬,TRUE,FALSE,TRUE,ap,,TRUE
11,phrase_line,a,p0,0,Î¸Îµ,FALSE,FALSE,FALSE,,,FALSE
12,phrase_line,G,a,-1,Î¿,FALSE,FALSE,FALSE,,,FALSE
13,phrase_line,a,o,1,Ï€ÏÎµ,FALSE,FALSE,FALSE,,,FALSE
13,phrase_line,a,o,1,Ï€ÏÎµ,FALSE,FALSE,FALSE,,,FALSE
14,phrase_line,b,o,1,Ï€ÏŽÏ‚,TRUE,FALSE,TRUE,,,FALSE
15,phrase_line,c,o,1,ÎµÎ½,FALSE,FALSE,TRUE,,,FALSE
16,phrase_line,c,0,0,Î¹,FALSE,FALSE,2,,,FALSE
17,phrase_line,d,p,1,ÏƒÏ‡Ï,TRUE,FALSE,FALSE,,,FALSE
18,phrase_line,c,a,-1,ÎµÎ¹,FALSE,FALSE,TRUE,kl,,FALSE
